Id,When,Commodity,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
1212954,1/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212955,1/1/1960 12:00:00 AM,Food,,,14,,,,,,,,,9/20/2022 7:47:50 AM
1212956,1/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,9/20/2022 7:47:50 AM
1212957,1/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,9/20/2022 7:47:50 AM
1212958,2/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212959,2/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,9/20/2022 7:47:50 AM
1212960,2/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,9/20/2022 7:47:50 AM
1212961,2/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,9/20/2022 7:47:50 AM
1212962,3/1/1960 12:00:00 AM,All-items,,,15.4,,,,,,,,,9/20/2022 7:47:50 AM
1212963,3/1/1960 12:00:00 AM,Food,,,13.7,,,,,,,,,9/20/2022 7:47:50 AM
1212964,3/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,9/20/2022 7:47:50 AM
1212965,3/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,9/20/2022 7:47:50 AM
1212966,4/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212967,4/1/1960 12:00:00 AM,Food,,,13.9,,,,,,,,,9/20/2022 7:47:50 AM
1212968,4/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.5,,,,,,,,,9/20/2022 7:47:50 AM
1212969,4/1/1960 12:00:00 AM,Transportation,,,14.6,,,,,,,,,9/20/2022 7:47:50 AM
1212970,5/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212971,5/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,9/20/2022 7:47:50 AM
1212972,5/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.7,,,,,,,,,9/20/2022 7:47:50 AM
1212973,5/1/1960 12:00:00 AM,Transportation,,,14.7,,,,,,,,,9/20/2022 7:47:50 AM
1212974,6/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212975,6/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,9/20/2022 7:47:50 AM
1212976,6/1/1960 12:00:00 AM,"Recreation, education and reading",,,17.7,,,,,,,,,9/20/2022 7:47:50 AM
1212977,6/1/1960 12:00:00 AM,Transportation,,,14.7,,,,,,,,,9/20/2022 7:47:50 AM
1212978,7/1/1960 12:00:00 AM,All-items,,,15.5,,,,,,,,,9/20/2022 7:47:50 AM
1212979,7/1/1960 12:00:00 AM,Food,,,13.8,,,,,,,,,9/20/2022 7:47:50 AM
